order_id,account_id,order_date,total_amount,product_count,status
ORD001,ACC001,2024-11-02,1250.00,5,COMPLETED
ORD002,ACC001,2024-11-08,890.50,3,COMPLETED
ORD003,ACC001,2024-11-15,2100.00,8,COMPLETED
ORD004,ACC001,2024-12-03,3500.00,12,COMPLETED
ORD005,ACC001,2024-12-10,2800.00,10,COMPLETED
ORD006,ACC001,2024-12-15,1900.00,7,PENDING
ORD007,ACC002,2024-11-05,4500.00,15,COMPLETED
ORD008,ACC002,2024-11-12,3200.00,11,COMPLETED
ORD009,ACC002,2024-11-20,2800.00,9,COMPLETED
ORD010,ACC002,2024-12-02,5100.00,18,COMPLETED
ORD011,ACC002,2024-12-08,4200.00,14,COMPLETED
ORD012,ACC003,2024-11-03,750.00,3,COMPLETED
ORD013,ACC003,2024-11-18,1100.00,4,COMPLETED
ORD014,ACC003,2024-12-05,950.00,4,COMPLETED
ORD015,ACC003,2024-12-12,1250.00,5,PENDING
ORD016,ACC004,2024-11-07,2200.00,7,COMPLETED
ORD017,ACC004,2024-11-14,1800.00,6,COMPLETED
ORD018,ACC004,2024-11-25,2500.00,9,CANCELLED
ORD019,ACC004,2024-12-04,5800.00,20,COMPLETED
ORD020,ACC004,2024-12-11,4200.00,15,COMPLETED
ORD021,ACC005,2024-11-01,6500.00,22,COMPLETED
ORD022,ACC005,2024-11-10,5800.00,19,COMPLETED
ORD023,ACC005,2024-11-22,7200.00,25,COMPLETED
ORD024,ACC005,2024-12-01,6800.00,23,COMPLETED
ORD025,ACC005,2024-12-09,7500.00,26,COMPLETED
ORD026,ACC005,2024-12-16,5200.00,18,PENDING
ORD027,ACC006,2024-11-06,420.00,2,COMPLETED
ORD028,ACC006,2024-11-19,580.00,3,COMPLETED
ORD029,ACC006,2024-12-03,1200.00,5,COMPLETED
ORD030,ACC006,2024-12-10,950.00,4,COMPLETED
ORD031,ACC006,2024-12-14,780.00,3,COMPLETED
ORD032,ACC007,2024-11-04,1800.00,6,COMPLETED
ORD033,ACC007,2024-11-11,2200.00,8,COMPLETED
ORD034,ACC007,2024-11-21,1500.00,5,COMPLETED
ORD035,ACC007,2024-12-02,2400.00,9,COMPLETED
ORD036,ACC007,2024-12-13,1900.00,7,COMPLETED
ORD037,ACC008,2024-11-02,3100.00,10,COMPLETED
ORD038,ACC008,2024-11-09,2700.00,9,COMPLETED
ORD039,ACC008,2024-11-16,3400.00,12,COMPLETED
ORD040,ACC008,2024-11-28,2900.00,10,CANCELLED
ORD041,ACC008,2024-12-05,3800.00,13,COMPLETED
ORD042,ACC008,2024-12-12,4100.00,14,COMPLETED
ORD043,ACC009,2024-11-08,650.00,2,COMPLETED
ORD044,ACC009,2024-11-23,820.00,3,COMPLETED
ORD045,ACC009,2024-12-06,1100.00,4,COMPLETED
ORD046,ACC009,2024-12-11,980.00,4,COMPLETED
ORD047,ACC009,2024-12-15,750.00,3,PENDING
ORD048,ACC010,2024-11-05,4200.00,14,COMPLETED
ORD049,ACC010,2024-11-15,3800.00,13,COMPLETED
ORD050,ACC010,2024-11-26,4500.00,16,COMPLETED
ORD051,ACC010,2024-12-04,4100.00,14,COMPLETED
ORD052,ACC010,2024-12-10,4600.00,16,COMPLETED
